Дискорд Минюста: https://discord.gg/3FaMemZnk8,,,,,,,,,,
Всё о регистрации территории: https://discord.com/channels/832651103556075570/1312363301195485204,,,,,,,,,,
РЕЕСТР ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ,,,,,,,,,,
ОБЩАЯ ХАРАКТЕРИСТИКА,,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ,
,,,,Верхний мир,,,Портал в Незере,,,
Название,Описание,Основатель,Владелец,X,Z,Радиус,X,Z,Дата,На карте
Мегаполис СССП,делится на 17 районов. ,FInch_94,FInch_94,8000,0,2000,1000,250,03.06.2022,ИСТИНА
Суфлея,Конфетный город,Kartoxa11,Kartoxa11,6408,-831,520,800,-90,22.02.2025,ИСТИНА
z40,сучья запретка не заходите warning!!,SALUKI__,SALUKI__,2864,873,1000,360,100,03.06.2022,ИСТИНА
Кур-де-Фонтейн С,"Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости ",DizWasTaken,DizWasTaken,-16500,20700,2000,-2750,2000,14.04.2024,ИСТИНА
СПГ,,psina_sytylaya,psina_sytylaya,-4990,-5683,2000,-610,-720,03.06.2022,ИСТИНА
Стальгорн ,"Один из самых известных городов дворфов/гномов в жанре фэнтези, появившийся во вселенной World Of Warcraft. И наша задача не отходить от той атмосферы веселья и задора, которыми наполнена жизнь и архитектура дворфов. Но мы приветствуем в нашем городе людей всех мастей и любых предпочтений. Можете чувствовать себя, как дома, главное - заплатите, как следует, трактирщику в таверне. ",alekseev1ch,alekseev1ch,4820,3705,2000,599,470,04.06.2022,ИСТИНА
Архив альтернативной реальности,потом чето,Hellbug_U,Hellbug_U,21696,20220,1000,2715,2530,06.07.2023,ИСТИНА
Центр Комфорта,,Kvander,Kvander,-7400,5300,500,-922,666,09.07.2023,ИСТИНА
Грибебе,город в грибной стилистике,be_rilla,be_rilla,-1400,-10247,500,-174,-1285,01.03.2025,ЛОЖЬ
Фарматти,"Фарматти - город без общего стиля, связанный с вечностью мира.",Fountainebleau,Fountainebleau,5120,-6880,1500,640,-860,11.08.2022,ЛОЖЬ
 Хутакпаз Сити,Лютый город One Piece,Tilt_Ss,Tilt_Ss,-4070,1650,2000,-500,200,08.06.2022,ЛОЖЬ
Чиллград,Чилловый город,minubart,minubart,-22339,-4305,1000,-2797,-527,19.02.2023,ИСТИНА
Инкорп innovation Inc,Лаборатория расположеyная в вулкане. Так-же есть ядро питающее это место.,SirBonnie,SirBonnie,-6320,5144,500,-800,645,04.01.2023,ИСТИНА
Фроград,"Уютный и ламповый город, в котором будут периодически проходить различные ивенты и праздники",Mankiii_,Mankiii_,1279,-5850,1500,158,-730,23.06.2022,ИСТИНА
Argalis,"Таинственный волшебный город фей, со своей историей и лором. Все феи отличались друг от друга: цвет кожи , гендер , половой признак и интересы. Стиль: Подземный Мегаполис , в друидском стиле.","Cmetanochkaa, Pankyss","Cmetanochkaa, Pankyss",6666,-2666,2000,860,-333,03.06.2022,ИСТИНА
Подвальчик Канфи,владелец felix0012 который живёт в подвале,QueenMera_,QueenMera_,6000,-8100,601,700,-1010,02.03.2024,ИСТИНА
